0.172,  0.456,  0.176,  0.457,  0.512,  0.174,  0.515,  0.467,  0.165,  0.164,
0.172,  0.456,  0.176,  0.457,  0.512,  0.174,  0.516,  0.466,  0.165,  0.164,
0.172,  0.456,  0.176,  0.457,  0.512,  0.174,  0.515,  0.466,  0.165,  0.163,
0.172,  0.457,  0.176,  0.457,  0.512,  0.173,  0.516,  0.466,  0.165,  0.163,
0.172,  0.456,  0.176,  0.457,  0.512,  0.172,  0.515,  0.466,  0.165,  0.163,
0.173,  0.456,  0.176,  0.457,  0.512,  0.173,  0.515,  0.466,  0.165,  0.163,
0.173,  0.456,  0.176,  0.457,  0.512,  0.173,  0.516,  0.466,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.173,  0.516,  0.466,  0.165,  0.164,
0.172,  0.456,  0.176,  0.457,  0.512,  0.173,  0.515,  0.466,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.173,  0.515,  0.467,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.174,  0.515,  0.466,  0.165,  0.163,
0.173,  0.456,  0.176,  0.457,  0.512,  0.173,  0.515,  0.467,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.173,  0.515,  0.467,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.172,  0.515,  0.467,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.172,  0.516,  0.467,  0.165,  0.164,
0.173,  0.456,  0.176,  0.457,  0.512,  0.171,  0.515,  0.467,  0.165,  0.164,
0.172,  0.456,  0.176,  0.457,  0.512,  0.172,  0.516,  0.467,  0.165,  0.163,
0.172,  0.456,  0.176,  0.457,  0.512,  0.172,  0.515,  0.467,  0.165,  0.163,
0.172,  0.455,  0.176,  0.457,  0.512,  0.171,  0.514,  0.467,  0.165,  0.163,
0.173,  0.456,  0.176,  0.457,  0.512,  0.171,  0.515,  0.467,  0.165,  0.163,
0.173,  0.456,  0.176,  0.457,  0.512,  0.171,  0.515,  0.467,  0.165,  0.163,
0.172,  0.456,  0.176,  0.457,  0.512,  0.171,  0.515,  0.467,  0.165,  0.163,
0.172,  0.456,  0.176,  0.457,  0.512,  0.172,  0.516,  0.467,  0.165,  0.163,
0.172,

InterpolateFloat Test01
Sep 13 2018 22:26:04
0.022,  0.057,  0.022,  0.057,  0.064,  0.022,  0.065,  0.059,  0.020,  0.021,
0.041,  0.107,  0.041,  0.107,  0.120,  0.041,  0.122,  0.110,  0.038,  0.038,
0.057,  0.150,  0.058,  0.151,  0.169,  0.058,  0.171,  0.154,  0.054,  0.054,
0.072,  0.188,  0.073,  0.189,  0.212,  0.072,  0.214,  0.193,  0.068,  0.068,
0.084,  0.222,  0.086,  0.222,  0.249,  0.085,  0.251,  0.227,  0.080,  0.080,
0.095,  0.252,  0.097,  0.252,  0.282,  0.097,  0.284,  0.257,  0.091,  0.090,
0.105,  0.277,  0.107,  0.277,  0.311,  0.107,  0.312,  0.284,  0.100,  0.100,
0.113,  0.300,  0.116,  0.300,  0.336,  0.116,  0.337,  0.306,  0.109,  0.108,
0.120,  0.319,  0.123,  0.319,  0.358,  0.123,  0.359,  0.327,  0.115,  0.115,
0.127,  0.336,  0.130,  0.336,  0.377,  0.130,  0.378,  0.344,  0.122,  0.121,
0.133,  0.351,  0.136,  0.351,  0.394,  0.135,  0.395,  0.360,  0.127,  0.127,
0.138,  0.364,  0.141,  0.365,  0.409,  0.140,  0.409,  0.373,  0.132,  0.131,
0.142,  0.375,  0.145,  0.376,  0.422,  0.145,  0.423,  0.385,  0.136,  0.135,
0.146,  0.385,  0.149,  0.386,  0.433,  0.148,  0.434,  0.395,  0.139,  0.139,
0.149,  0.394,  0.152,  0.395,  0.443,  0.150,  0.445,  0.404,  0.143,  0.142,
